ID,Name,Lot
00206,TSC GROUP,1000
00207,JOY CITY PPT,2000
00208,POLYTEC ASSET,5000
00209,WINSHINE SCI,4000
00210,DAPHNE INT'L,2000
00211,STYLAND HOLD,10000
00212,NANYANG HOLD,500
00213,NATIONAL ELEC H,2000
00214,ASIA ORIENT,2000
00215,HUTCHTEL HK,2000
00216,CHINNEY INV,4000
00217,CHINA CHENGTONG,2000
00218,SHENWANHONGYUAN,5000
00219,SHUNHO PROPERTY,2000
00220,U-PRESID CHINA,1000
00221,EASY ONE FIN,10000
00222,MIN XIN HOLD,2000
00223,ELIFE HLDGS,2000
00224,PIONEER GLOBAL,4000
00225,POKFULAM,2000
00226,LIPPO,1000
00227,FIRST SHANGHAI,8000
00228,CHINA ENERGY,2000
00229,RAYMOND IND,1000
00230,MINMETALS LAND,2000
00231,PING AN SEC GP,20000
00232,AVIC INT'L,2000
00233,MY MEDICARE,10000
00234,NEW CENTURY GP,8000
00235,CHINA STRATEGIC,5000
00236,SAN MIGUEL HK,2000
00237,SAFETY GODOWN,2000
00238,EVERGREEN INT,1000
00239,PAK FAH YEOW,2500
00240,BUILD KING HOLD,10000
00241,ALI HEALTH,2000
00242,SHUN TAK HOLD,2000
00243,QPL INT'L,9000
00244,SINCERE,1000
00245,CN MINSHENG FIN,10000
00246,REALGOLD MINING,500
00247,TST PROPERTIES,2000
00248,HKC INT'L HOLD,4000
00250,SINO-I TECH,10000
00251,SEA HOLDINGS,2000
00252,SE ASIA PPT,2000
00253,SHUNHO HOLDINGS,2000
00254,NUR HOLDINGS,10000
00255,LUNG KEE,2000
00256,CITYCHAMP,2000
00257,CHINA EB INT'L,1000
00258,TOMSON GROUP,2000
00259,YEEBO (INT'L H),2000
00260,AVIC JOY HLDG,10000
00261,CCT LAND,80000
00262,DESON DEV INT'L,5000
00263,GT GROUP HLDG,4000
00264,ASCENT INT'L,4000
00265,ORIENT VICTORY,10000
00266,TIAN TECK LAND,2000
00267,CITIC,1000
00268,KINGDEE INT'L,2000
00269,CRTG,5000
00270,GUANGDONG INV,2000
00271,DAN FORM HOLD,1000
00272,SHUI ON LAND,500
00273,MASON FIN,20000
00274,C BILLION RES,40000
00275,MASTER GLORY GP,10000
00276,MONGOLIA ENERGY,3000
00277,TERN PROPERTIES,2000
00278,WAH HA REALTY,2000
00279,FREEMAN FINTECH,20000
00280,KING FOOK HOLD,2000
