1 601318 中國平安 685,576,979 302,343,791 987,920,770 
2 600519 貴州茅台 498,893,649 398,636,035 897,529,684 
3 600036 招商銀行 472,719,345 233,053,927 705,773,272 
4 600276 恒瑞醫藥 285,255,155 229,962,963 515,218,118 
5 601166 興業銀行 356,735,703 139,394,389 496,130,092 
6 600887 伊利股份 375,753,837 114,484,059 490,237,896 
7 600016 民生銀行 222,288,180 119,519,257 341,807,437 
8 600585 海螺水泥 238,525,984 72,318,495 310,844,479 
9 600009 上海機場 93,237,711 178,417,118 271,654,829 
10 601888 中國國旅 76,681,681 192,566,084 269,247,765 

1 858 五糧液 441,532,836 410,264,057 851,796,893 
2 2415 海康威視 456,600,254 372,866,788 829,467,042 
3 651 格力電器 311,000,882 198,586,292 509,587,174 
4 2714 牧原股份 186,303,889 280,148,932 466,452,821 
5 333 美的集團 235,330,074 204,837,708 440,167,782 
6 300498 溫氏股份 199,367,340 170,761,302 370,128,642 
7 568 瀘州老窖 104,042,857 184,966,790 289,009,647 
8 1 平安銀行 134,939,741 124,427,148 259,366,889 
9 63 中興通訊 119,431,359 113,472,862 232,904,221 
10 2475 立訊精密 104,151,509 99,032,917 203,184,426 
