1 600519 貴州茅台 464,326,026 566,642,443 1,030,968,469 
2 600276 恒瑞醫藥 213,273,986 563,834,645 777,108,631 
3 601318 中國平安 328,686,222 282,307,049 610,993,271 
4 600585 海螺水泥 311,015,489 173,079,528 484,095,017 
5 600028 中國石化 279,698,067 72,285,619 351,983,686 
6 601888 中國國旅 187,261,073 163,934,156 351,195,229 
7 600779 水井坊 135,201,125 142,325,501 277,526,626 
8 600036 招商銀行 87,942,958 175,948,686 263,891,644 
9 600887 伊利股份 104,571,360 148,334,397 252,905,757 
10 603993 洛陽鉬業 29,080,226 195,731,587 224,811,813 

1 333 美的集團 419,164,560 190,818,808 609,983,368 
2 651 格力電器 285,639,636 256,211,297 541,850,933 
3 2415 海康威視 251,278,870 232,059,159 483,338,029 
4 858 五糧液 253,658,311 192,076,324 445,734,635 
5 2 萬科Ａ 79,303,463 204,089,057 283,392,520 
6 2304 洋河股份 178,083,581 88,337,187 266,420,768 
7 1 平安銀行 65,567,106 131,118,256 196,685,362 
8 725 京東方Ａ 116,011,764 75,129,020 191,140,784 
9 2508 老闆電器 68,737,749 86,133,885 154,871,634 
10 2027 分眾傳媒 92,810,127 47,805,463 140,615,590 
