1 600519 貴州茅台 1,162,034,496 762,720,031 1,924,754,527 
2 601318 中國平安 1,130,304,934 638,649,538 1,768,954,472 
3 600030 中信證券 865,276,776 807,527,798 1,672,804,574 
4 600036 招商銀行 551,925,217 310,062,489 861,987,706 
5 600570 恒生電子 245,758,085 335,116,935 580,875,020 
6 601166 興業銀行 320,395,333 187,077,100 507,472,433 
7 600887 伊利股份 320,654,656 170,390,034 491,044,690 
8 600016 民生銀行 263,037,212 220,416,453 483,453,665 
9 600276 恒瑞醫藥 262,481,864 202,820,509 465,302,373 
10 601398 工商銀行 250,140,538 167,631,877 417,772,415 

1 2415 海康威視 356,518,802 468,978,013 825,496,815 
2 858 五糧液 484,308,729 269,980,598 754,289,327 
3 1 平安銀行 412,810,405 176,279,718 589,090,123 
4 333 美的集團 303,774,440 203,427,534 507,201,974 
5 2304 洋河股份 252,256,257 195,295,038 447,551,295 
6 651 格力電器 306,653,894 135,292,647 441,946,541 
7 2714 牧原股份 249,683,199 131,413,258 381,096,457 
8 568 瀘州老窖 223,631,067 156,160,683 379,791,750 
9 300059 東方財富 255,446,862 113,620,515 369,067,377 
10 2 萬科Ａ 168,169,840 196,232,406 364,402,246 
