1 600519 貴州茅台 403,079,714 310,755,596 713,835,310 
2 601318 中國平安 242,668,730 427,145,986 669,814,716 
3 600276 恒瑞醫藥 287,596,841 168,416,535 456,013,376 
4 600030 中信證券 130,495,380 304,606,017 435,101,397 
5 600036 招商銀行 195,221,063 225,202,291 420,423,354 
6 600887 伊利股份 132,335,729 158,366,575 290,702,304 
7 601888 中國國旅 131,572,228 155,134,452 286,706,680 
8 600900 長江電力 121,799,333 140,455,904 262,255,237 
9 601012 隆基股份 88,386,796 159,871,631 248,258,427 
10 600585 海螺水泥 153,342,600 67,764,963 221,107,563 

1 2415 海康威視 154,925,260 352,156,786 507,082,046 
2 2 萬科Ａ 119,302,612 279,888,560 399,191,172 
3 333 美的集團 128,349,404 239,865,119 368,214,523 
4 858 五糧液 157,355,059 156,322,005 313,677,064 
5 651 格力電器 116,975,222 189,965,081 306,940,303 
6 2304 洋河股份 102,457,720 142,476,895 244,934,615 
7 2475 立訊精密 46,253,793 194,427,085 240,680,878 
8 2027 分眾傳媒 71,523,197 143,642,941 215,166,138 
9 1 平安銀行 44,009,139 127,572,056 171,581,195 
10 2236 大華股份 59,665,155 50,986,607 110,651,762 
