1 601318 中國平安 1,026,331,416 429,475,200 1,455,806,616 
2 600276 恒瑞醫藥 403,381,370 464,158,547 867,539,917 
3 600519 貴州茅台 341,118,329 370,101,222 711,219,551 
4 601186 中國鐵建 231,431,405 366,260,405 597,691,810 
5 600036 招商銀行 438,061,129 150,296,199 588,357,328 
6 601668 中國建築 182,588,743 90,324,539 272,913,282 
7 600585 海螺水泥 99,268,928 159,967,640 259,236,568 
8 600031 三一重工 116,029,883 115,586,505 231,616,388 
9 600048 保利地產 75,068,441 152,385,122 227,453,563 
10 600030 中信證券 115,036,414 108,674,945 223,711,359 

1 725 京東方Ａ 220,397,675 307,791,767 528,189,442 
2 2027 分眾傳媒 208,144,600 223,158,334 431,302,934 
3 2304 洋河股份 169,041,718 134,996,774 304,038,492 
4 2 萬科Ａ 130,832,062 167,285,023 298,117,085 
5 858 五糧液 125,676,144 163,039,502 288,715,646 
6 333 美的集團 63,917,097 199,913,646 263,830,743 
7 651 格力電器 72,109,126 158,906,411 231,015,537 
8 2415 海康威視 97,024,635 130,240,793 227,265,428 
9 2008 大族激光 163,198,707 10,769,883 173,968,590 
10 300015 愛爾眼科 41,021,272 112,922,894 153,944,166 
