1 600519 貴州茅台 442,716,308 556,798,940 999,515,248 
2 601318 中國平安 233,977,663 490,882,344 724,860,007 
3 600887 伊利股份 119,890,342 403,036,395 522,926,737 
4 600183 生益科技 271,191,052 186,218,262 457,409,314 
5 600276 恒瑞醫藥 181,291,157 262,031,664 443,322,821 
6 603288 海天味業 166,504,103 151,651,093 318,155,196 
7 603338 浙江鼎力 20,940,240 271,134,735 292,074,975 
8 600031 三一重工 101,457,901 166,500,894 267,958,795 
9 603259 藥明康德 129,984,982 136,481,186 266,466,168 
10 600048 保利地產 66,889,566 183,071,537 249,961,103 

1 858 五糧液 453,838,794 411,176,727 865,015,521 
2 1 平安銀行 455,770,853 356,753,376 812,524,229 
3 651 格力電器 142,966,159 236,176,495 379,142,654 
4 2415 海康威視 204,408,024 124,169,549 328,577,573 
5 2304 洋河股份 167,415,414 155,064,031 322,479,445 
6 2422 科倫藥業 79,231,445 218,532,345 297,763,790 
7 300059 東方財富 151,536,689 137,294,464 288,831,153 
8 2475 立訊精密 120,359,521 153,062,030 273,421,551 
9 89 深圳機場 63,021,835 196,173,709 259,195,544 
10 333 美的集團 141,680,432 103,786,760 245,467,192 
