1 600519 貴州茅台 635,339,063 447,208,502 1,082,547,565 
2 600036 招商銀行 722,941,425 345,725,536 1,068,666,961 
3 601318 中國平安 697,024,278 208,043,187 905,067,465 
4 600276 恒瑞醫藥 307,757,979 286,327,953 594,085,932 
5 600585 海螺水泥 468,662,315 110,387,327 579,049,642 
6 600183 生益科技 191,782,017 232,118,841 423,900,858 
7 601166 興業銀行 310,015,144 61,706,516 371,721,660 
8 600009 上海機場 132,860,275 231,122,624 363,982,899 
9 600887 伊利股份 127,615,713 205,753,305 333,369,018 
10 600048 保利地產 177,979,304 133,786,584 311,765,888 

1 2415 海康威視 362,058,303 552,442,584 914,500,887 
2 858 五糧液 417,170,575 392,853,863 810,024,438 
3 1 平安銀行 376,680,774 276,384,037 653,064,811 
4 2475 立訊精密 439,599,938 133,611,357 573,211,295 
5 651 格力電器 272,745,488 156,561,127 429,306,615 
6 2714 牧原股份 244,696,700 166,482,585 411,179,285 
7 2241 歌爾股份 186,546,763 202,993,713 389,540,476 
8 2916 深南電路 154,861,017 188,475,768 343,336,785 
9 2236 大華股份 56,133,286 281,880,226 338,013,512 
10 2 萬科Ａ 205,339,064 130,761,450 336,100,514 
