1	2415	海康威視　　　　	284,772,332	221,817,426	506,589,758
2	333	美的集團　　　　	248,377,502	149,493,334	397,870,836
3	651	格力電器　　　　	252,170,881	75,358,414	327,529,295
4	725	京東方Ａ　　　　	165,893,702	131,010,854	296,904,556
5	568	瀘州老窖　　　　	150,703,093	61,723,836	212,426,929
6	2304	洋河股份　　　　	68,621,520	133,505,098	202,126,618
7	858	五糧液　　　　　	129,922,420	47,761,499	177,683,919
8	2	萬科Ａ　　　　　	105,165,750	60,300,713	165,466,463
9	2583	海能達　　　　　	90,109,138	9,585,197	99,694,335
10	2594	比亞迪　　　　　	52,841,089	45,706,484	98,547,573
1	600519	貴州茅台　　　　	298,645,743	165,593,907	464,239,650
2	601318	中國平安　　　　	240,201,440	192,587,805	432,789,245
3	600050	中國聯通　　　　	184,343,195	65,543,914	249,887,109
4	600887	伊利股份　　　　	106,039,839	139,426,138	245,465,977
5	600276	恒瑞醫藥　　　　	157,396,198	51,182,137	208,578,335
6	600690	青島海爾　　　　	92,751,515	76,836,319	169,587,834
7	600104	上汽集團　　　　	112,432,812	41,972,026	154,404,838
8	600009	上海機場　　　　	58,748,320	87,884,547	146,632,867
9	601668	中國建築　　　　	97,702,114	46,940,833	144,642,947
10	601888	中國國旅　　　　	117,817,788	20,380,828	138,198,616
