1 601318 中國平安 384,644,999 645,054,429 1,029,699,428 
2 600030 中信證券 469,732,463 491,903,498 961,635,961 
3 600519 貴州茅台 311,133,571 580,074,994 891,208,565 
4 600585 海螺水泥 419,068,304 298,129,306 717,197,610 
5 600036 招商銀行 161,403,886 258,842,196 420,246,082 
6 600048 保利地產 156,400,982 181,275,264 337,676,246 
7 600031 三一重工 207,406,701 128,873,195 336,279,896 
8 600887 伊利股份 59,240,763 265,449,272 324,690,035 
9 601336 新華保險 197,155,169 95,580,498 292,735,667 
10 600276 恒瑞醫藥 130,387,994 149,027,789 279,415,783 

1 651 格力電器 139,708,900 593,787,782 733,496,682 
2 858 五糧液 161,772,761 418,900,189 580,672,950 
3 333 美的集團 171,674,215 234,844,080 406,518,295 
4 860 順鑫農業 137,780,307 257,938,089 395,718,396 
5 2 萬科Ａ 138,476,254 206,062,393 344,538,647 
6 338 濰柴動力 133,873,273 157,233,840 291,107,113 
7 2304 洋河股份 141,082,303 134,244,283 275,326,586 
8 2714 牧原股份 124,825,543 144,804,064 269,629,607 
9 2415 海康威視 102,127,931 148,632,802 250,760,733 
10 1979 招商蛇口 162,399,499 84,802,911 247,202,410 
