1 600519 貴州茅台 498,853,403 655,691,319 1,154,544,722 
2 601318 中國平安 778,584,878 365,462,521 1,144,047,399 
3 600276 恒瑞醫藥 259,554,835 391,496,290 651,051,125 
4 600690 青島海爾 169,228,630 320,773,527 490,002,157 
5 600585 海螺水泥 320,109,494 115,032,762 435,142,256 
6 600887 伊利股份 202,814,766 190,056,164 392,870,930 
7 600036 招商銀行 173,900,130 175,251,592 349,151,722 
8 601888 中國國旅 161,874,210 160,148,287 322,022,497 
9 600779 水井坊 161,886,838 122,377,146 284,263,984 
10 600019 寶鋼股份 80,677,279 162,891,466 243,568,745 

1 651 格力電器 315,818,068 430,496,617 746,314,685 
2 333 美的集團 358,340,144 315,891,353 674,231,497 
3 858 五糧液 290,035,972 307,382,318 597,418,290 
4 1 平安銀行 221,331,965 195,271,618 416,603,583 
5 2415 海康威視 232,860,381 144,755,341 377,615,722 
6 2 萬科Ａ 57,332,316 162,386,671 219,718,987 
7 2304 洋河股份 108,869,499 85,825,731 194,695,230 
8 2024 蘇寧易購 79,916,276 78,616,768 158,533,044 
9 1979 招商蛇口 66,241,875 85,083,721 151,325,596 
10 2050 三花智控 12,573,865 138,005,762 150,579,627 
