1 600030 中信證券 741,926,778 705,205,578 1,447,132,356 
2 600519 貴州茅台 828,962,406 526,992,512 1,355,954,918 
3 601318 中國平安 701,675,498 641,767,278 1,343,442,776 
4 600036 招商銀行 392,574,965 230,912,739 623,487,704 
5 600585 海螺水泥 268,360,677 250,302,883 518,663,560 
6 600031 三一重工 348,706,127 154,574,624 503,280,751 
7 600050 中國聯通 255,856,817 191,279,355 447,136,172 
8 600690 青島海爾 188,754,152 241,593,370 430,347,522 
9 600887 伊利股份 206,247,998 200,570,865 406,818,863 
10 601668 中國建築 184,882,456 218,018,938 402,901,394 

1 651 格力電器 538,790,767 327,416,602 866,207,369 
2 2714 牧原股份 345,467,301 421,557,179 767,024,480 
3 2415 海康威視 339,091,265 407,198,443 746,289,708 
4 858 五糧液 436,592,697 272,800,278 709,392,975 
5 333 美的集團 348,615,176 278,510,272 627,125,448 
6 300059 東方財富 127,309,312 370,458,607 497,767,919 
7 2475 立訊精密 219,743,719 235,499,464 455,243,183 
8 2 萬科Ａ 193,201,653 242,841,394 436,043,047 
9 1 平安銀行 198,556,274 203,754,241 402,310,515 
10 2304 洋河股份 175,861,504 224,062,576 399,924,080 
