1 600519 貴州茅台 504,345,887 488,240,127 992,586,014 
2 601318 中國平安 389,260,435 591,104,807 980,365,242 
3 600276 恒瑞醫藥 212,258,018 390,060,355 602,318,373 
4 601166 興業銀行 181,134,909 199,668,079 380,802,988 
5 600019 寶鋼股份 175,871,394 175,490,341 351,361,735 
6 600030 中信證券 172,891,591 176,728,402 349,619,993 
7 600036 招商銀行 161,669,330 162,273,712 323,943,042 
8 601288 農業銀行 182,755,741 130,062,661 312,818,402 
9 600048 保利地產 167,119,876 136,166,401 303,286,277 
10 600887 伊利股份 154,548,070 133,752,183 288,300,253 

1 858 五糧液 213,540,928 500,230,288 713,771,216 
2 333 美的集團 251,883,722 429,455,789 681,339,511 
3 2415 海康威視 409,995,936 197,617,449 607,613,385 
4 651 格力電器 165,373,198 430,504,845 595,878,043 
5 2 萬科Ａ 157,899,558 170,790,111 328,689,669 
6 725 京東方Ａ 120,924,414 177,445,099 298,369,513 
7 1 平安銀行 141,935,257 85,967,295 227,902,552 
8 2050 三花智控 158,870,239 12,286,384 171,156,623 
9 2304 洋河股份 57,717,220 112,282,404 169,999,624 
10 2236 大華股份 85,278,233 77,457,262 162,735,495 
