1 600519 貴州茅台 371,089,351 975,424,660 1,346,514,011 
2 601318 中國平安 330,986,870 798,769,740 1,129,756,610 
3 600887 伊利股份 92,382,574 304,032,575 396,415,149 
4 601166 興業銀行 107,939,611 266,440,948 374,380,559 
5 600183 生益科技 181,382,145 188,648,336 370,030,481 
6 600048 保利地產 184,340,904 149,960,654 334,301,558 
7 600036 招商銀行 129,000,631 195,162,707 324,163,338 
8 600030 中信證券 154,334,223 166,403,652 320,737,875 
9 600276 恒瑞醫藥 116,065,947 191,996,137 308,062,084 
10 600536 中國軟件 153,513,708 145,612,206 299,125,914 

1 858 五糧液 321,887,744 328,436,950 650,324,694 
2 651 格力電器 409,264,665 189,870,419 599,135,084 
3 333 美的集團 239,382,934 136,593,882 375,976,816 
4 2475 立訊精密 166,360,959 146,776,371 313,137,330 
5 568 瀘州老窖 113,052,862 191,787,295 304,840,157 
6 2415 海康威視 123,507,076 150,811,165 274,318,241 
7 2241 歌爾股份 130,479,847 143,292,182 273,772,029 
8 1 平安銀行 132,429,694 120,038,388 252,468,082 
9 63 中興通訊 121,905,981 112,059,431 233,965,412 
10 2 萬科Ａ 118,090,423 108,009,102 226,099,525 
