1 600519 貴州茅台 776,664,780 541,700,678 1,318,365,458 
2 601318 中國平安 526,766,924 406,014,071 932,780,995 
3 600887 伊利股份 169,290,200 364,421,916 533,712,116 
4 600690 青島海爾 129,385,965 326,222,937 455,608,902 
5 600276 恒瑞醫藥 203,875,857 225,651,423 429,527,280 
6 600036 招商銀行 218,358,434 125,775,680 344,134,114 
7 600030 中信證券 149,382,132 118,788,509 268,170,641 
8 600050 中國聯通 117,122,054 134,307,739 251,429,793 
9 601888 中國國旅 100,719,219 134,252,267 234,971,486 
10 601601 中國太保 137,714,896 75,470,532 213,185,428 

1 2415 海康威視 485,580,481 424,598,343 910,178,824 
2 333 美的集團 195,428,858 588,923,097 784,351,955 
3 651 格力電器 289,607,459 353,276,332 642,883,791 
4 858 五糧液 241,227,164 192,391,208 433,618,372 
5 725 京東方Ａ 215,594,555 164,850,300 380,444,855 
6 1 平安銀行 160,311,042 218,138,053 378,449,095 
7 2 萬科Ａ 120,847,637 105,539,134 226,386,771 
8 2304 洋河股份 107,475,549 101,515,862 208,991,411 
9 2008 大族激光 153,044,803 53,721,551 206,766,354 
10 2050 三花智控 122,085,148 18,616,271 140,701,419 
