1 601318 中國平安 476,919,062 248,327,181 725,246,243 
2 600036 招商銀行 501,120,708 162,407,509 663,528,217 
3 600519 貴州茅台 334,501,754 198,785,366 533,287,120 
4 600887 伊利股份 363,210,853 124,286,902 487,497,755 
5 600030 中信證券 164,667,659 268,129,035 432,796,694 
6 601601 中國太保 146,671,819 193,018,522 339,690,341 
7 601888 中國國旅 194,597,498 122,475,505 317,073,003 
8 601012 隆基股份 150,710,245 153,652,016 304,362,261 
9 600585 海螺水泥 138,971,240 142,404,157 281,375,397 
10 600276 恒瑞醫藥 94,652,748 171,615,870 266,268,618 

1 651 格力電器 423,432,004 550,817,791 974,249,795 
2 858 五糧液 429,710,711 394,185,864 823,896,575 
3 2 萬科Ａ 318,988,375 110,427,993 429,416,368 
4 2415 海康威視 168,314,841 227,893,455 396,208,296 
5 2304 洋河股份 284,007,263 92,515,059 376,522,322 
6 333 美的集團 226,428,951 102,967,579 329,396,530 
7 568 瀘州老窖 117,266,830 145,185,572 262,452,402 
8 2714 牧原股份 103,492,168 104,123,521 207,615,689 
9 300498 溫氏股份 70,940,332 136,472,455 207,412,787 
10 2475 立訊精密 48,279,320 141,171,980 189,451,300 
