1 600519 貴州茅台 563,781,664 294,451,287 858,232,951 
2 600183 生益科技 212,366,035 337,704,927 550,070,962 
3 601012 隆基股份 389,355,913 129,926,617 519,282,530 
4 601318 中國平安 198,931,555 149,419,724 348,351,279 
5 600276 恒瑞醫藥 195,537,741 130,257,408 325,795,149 
6 600887 伊利股份 95,351,222 193,900,703 289,251,925 
7 600050 中國聯通 140,671,125 132,295,681 272,966,806 
8 601138 工業富聯 70,310,013 149,057,240 219,367,253 
9 600536 中國軟件 39,812,625 171,126,624 210,939,249 
10 600031 三一重工 102,858,888 100,894,321 203,753,209 

1 651 格力電器 554,441,960 97,192,886 651,634,846 
2 858 五糧液 321,946,262 196,105,656 518,051,918 
3 333 美的集團 219,063,166 277,599,114 496,662,280 
4 2415 海康威視 231,087,072 166,146,454 397,233,526 
5 1 平安銀行 159,883,172 185,611,669 345,494,841 
6 2304 洋河股份 187,580,372 115,256,693 302,837,065 
7 2475 立訊精密 126,397,860 175,401,187 301,799,047 
8 2241 歌爾股份 157,153,211 133,238,501 290,391,712 
9 300498 溫氏股份 148,753,844 80,494,138 229,247,982 
10 2008 大族激光 61,106,568 162,377,646 223,484,214 
