1 600519 貴州茅台 249,685,546 343,961,199 593,646,745 
2 601318 中國平安 134,480,111 440,005,223 574,485,334 
3 600585 海螺水泥 239,942,364 238,344,446 478,286,810 
4 600887 伊利股份 156,538,424 235,124,907 391,663,331 
5 600036 招商銀行 105,859,079 252,268,216 358,127,295 
6 600276 恒瑞醫藥 85,202,937 266,025,505 351,228,442 
7 601888 中國國旅 232,801,688 112,219,901 345,021,589 
8 600030 中信證券 79,703,263 164,768,150 244,471,413 
9 600741 華域汽車 38,726,654 184,587,573 223,314,227 
10 600048 保利地產 132,590,629 76,724,166 209,314,795 

1 858 五糧液 322,522,424 251,616,502 574,138,926 
2 2475 立訊精密 174,123,684 268,660,097 442,783,781 
3 651 格力電器 199,886,909 196,525,934 396,412,843 
4 568 瀘州老窖 122,162,059 198,540,037 320,702,096 
5 2714 牧原股份 128,438,453 119,098,745 247,537,198 
6 2415 海康威視 127,145,415 98,877,069 226,022,484 
7 300498 溫氏股份 87,083,645 122,607,375 209,691,020 
8 333 美的集團 120,392,328 72,593,927 192,986,255 
9 401 冀東水泥 54,382,610 124,666,470 179,049,080 
10 300750 寧德時代 121,656,900 41,366,372 163,023,272 
