1 600519 貴州茅台 835,287,851 1,070,649,053 1,905,936,904 
2 601318 中國平安 459,760,309 246,084,841 705,845,150 
3 600276 恒瑞醫藥 327,283,190 224,626,133 551,909,323 
4 600009 上海機場 118,747,528 326,555,377 445,302,905 
5 600887 伊利股份 152,453,414 290,554,016 443,007,430 
6 601166 興業銀行 102,981,480 289,911,098 392,892,578 
7 600183 生益科技 154,340,671 202,542,971 356,883,642 
8 600036 招商銀行 152,675,266 176,741,609 329,416,875 
9 603259 藥明康德 203,573,651 124,989,807 328,563,458 
10 601888 中國國旅 81,579,880 200,115,785 281,695,665 

1 858 五糧液 438,958,413 331,358,907 770,317,320 
2 2304 洋河股份 328,457,434 214,600,106 543,057,540 
3 2714 牧原股份 203,220,230 166,619,137 369,839,367 
4 2415 海康威視 124,345,332 241,589,197 365,934,529 
5 300498 溫氏股份 141,551,001 215,874,234 357,425,235 
6 651 格力電器 144,526,768 110,184,790 254,711,558 
7 333 美的集團 114,517,371 130,888,969 245,406,340 
8 2475 立訊精密 116,710,451 123,144,387 239,854,838 
9 2241 歌爾股份 127,647,292 101,243,694 228,890,986 
10 977 浪潮信息 134,010,771 89,213,053 223,223,824 
