1 600519 貴州茅台 626,369,284 1,755,825,328 2,382,194,612 
2 601318 中國平安 272,587,921 695,378,190 967,966,111 
3 600276 恒瑞醫藥 200,838,620 156,851,387 357,690,007 
4 600690 青島海爾 27,432,333 313,582,981 341,015,314 
5 600585 海螺水泥 86,309,177 250,980,870 337,290,047 
6 600036 招商銀行 148,692,084 184,131,292 332,823,376 
7 600887 伊利股份 89,676,661 222,918,066 312,594,727 
8 600660 福耀玻璃 35,188,227 235,139,679 270,327,906 
9 600048 保利地產 122,616,096 143,838,950 266,455,046 
10 600030 中信證券 107,046,711 112,797,639 219,844,350 

1 300433 藍思科技 812,529,581 40,042,040 852,571,621 
2 2415 海康威視 379,771,246 167,541,222 547,312,468 
3 858 五糧液 161,331,305 243,858,657 405,189,962 
4 725 京東方Ａ 160,904,524 184,277,837 345,182,361 
5 333 美的集團 121,470,613 178,938,545 300,409,158 
6 2 萬科Ａ 72,016,274 222,817,487 294,833,761 
7 1 平安銀行 155,979,322 93,759,182 249,738,504 
8 651 格力電器 72,527,732 131,592,270 204,120,002 
9 2304 洋河股份 61,076,338 82,731,406 143,807,744 
10 2230 科大訊飛 63,285,695 62,978,258 126,263,953 
