1 601688 華泰證券 722,354,463 159,301,216 881,655,679 
2 600519 貴州茅台 235,718,589 420,719,346 656,437,935 
3 601318 中國平安 397,642,501 170,670,459 568,312,960 
4 600036 招商銀行 181,461,256 128,826,158 310,287,414 
5 600276 恒瑞醫藥 122,758,248 150,273,259 273,031,507 
6 600048 保利地產 118,599,190 123,417,271 242,016,461 
7 601888 中國國旅 95,188,086 139,147,208 234,335,294 
8 600009 上海機場 85,512,542 123,862,918 209,375,460 
9 601155 新城控股 65,285,280 141,958,824 207,244,104 
10 600900 長江電力 136,653,622 52,957,982 189,611,604 

1 1 平安銀行 245,180,007 459,528,630 704,708,637 
2 2475 立訊精密 383,441,477 179,304,729 562,746,206 
3 858 五糧液 257,145,981 238,837,512 495,983,493 
4 2 萬科Ａ 61,611,753 377,176,253 438,788,006 
5 2415 海康威視 117,433,256 259,600,757 377,034,013 
6 2714 牧原股份 168,333,532 186,866,827 355,200,359 
7 651 格力電器 161,806,690 157,762,753 319,569,443 
8 2241 歌爾股份 141,337,748 154,527,348 295,865,096 
9 333 美的集團 152,968,448 138,946,245 291,914,693 
10 300498 溫氏股份 92,556,049 130,359,712 222,915,761 
