1 601318 中國平安 925,692,658 699,983,313 1,625,675,971 
2 600519 貴州茅台 384,748,277 308,591,538 693,339,815 
3 600276 恒瑞醫藥 273,211,285 379,979,948 653,191,233 
4 600036 招商銀行 349,394,776 250,753,523 600,148,299 
5 600104 上汽集團 100,724,561 351,564,380 452,288,941 
6 601288 農業銀行 243,206,900 152,245,750 395,452,650 
7 600028 中國石化 183,937,669 131,406,897 315,344,566 
8 601166 興業銀行 163,069,209 135,350,064 298,419,273 
9 601328 交通銀行 141,356,846 118,943,332 260,300,178 
10 600887 伊利股份 122,090,112 116,552,055 238,642,167 

1 333 美的集團 110,630,023 204,735,917 315,365,940 
2 651 格力電器 156,377,327 158,666,720 315,044,047 
3 2415 海康威視 51,015,662 202,213,491 253,229,153 
4 2 萬科Ａ 81,666,056 165,198,069 246,864,125 
5 858 五糧液 96,998,717 137,458,577 234,457,294 
6 2008 大族激光 203,757,886 18,792,462 222,550,348 
7 2304 洋河股份 85,156,142 104,309,406 189,465,548 
8 1 平安銀行 66,033,972 76,702,113 142,736,085 
9 2027 分眾傳媒 35,595,274 99,977,529 135,572,803 
10 2594 比亞迪 81,416,438 29,486,251 110,902,689 
