1 600519 貴州茅台 315,085,522 379,916,978 695,002,500 
2 601688 華泰證券 387,587,195 115,344,199 502,931,394 
3 601318 中國平安 162,657,677 307,393,316 470,050,993 
4 600276 恒瑞醫藥 198,015,858 168,088,268 366,104,126 
5 600867 通化東寶 27,945,541 296,912,713 324,858,254 
6 600036 招商銀行 117,722,367 171,921,407 289,643,774 
7 601939 建設銀行 70,513,393 190,986,805 261,500,198 
8 600887 伊利股份 136,558,011 124,701,467 261,259,478 
9 600183 生益科技 162,807,642 75,260,358 238,068,000 
10 600009 上海機場 56,716,855 149,262,510 205,979,365 

1 858 五糧液 246,280,794 365,967,246 612,248,040 
2 2475 立訊精密 235,073,297 284,709,612 519,782,909 
3 2415 海康威視 220,751,533 159,109,397 379,860,930 
4 2 萬科Ａ 31,233,567 330,779,793 362,013,360 
5 2241 歌爾股份 191,568,194 143,292,064 334,860,258 
6 1 平安銀行 154,044,181 168,751,811 322,795,992 
7 300498 溫氏股份 224,130,884 93,080,054 317,210,938 
8 651 格力電器 174,819,586 129,493,184 304,312,770 
9 2714 牧原股份 98,465,136 175,079,450 273,544,586 
10 333 美的集團 81,787,690 123,817,204 205,604,894 
