1 601318 中國平安 452,393,948 690,000,876 1,142,394,824 
2 600276 恒瑞醫藥 565,336,894 338,866,653 904,203,547 
3 600519 貴州茅台 301,324,645 529,347,330 830,671,975 
4 600887 伊利股份 222,734,755 181,378,951 404,113,706 
5 600585 海螺水泥 108,203,979 213,884,792 322,088,771 
6 600036 招商銀行 60,507,247 254,286,033 314,793,280 
7 600900 長江電力 112,759,857 184,913,121 297,672,978 
8 600690 青島海爾 95,906,936 192,932,034 288,838,970 
9 600030 中信證券 48,852,928 172,249,073 221,102,001 
10 601166 興業銀行 41,438,311 177,526,907 218,965,218 

1 858 五糧液 278,983,360 376,838,467 655,821,827 
2 651 格力電器 115,792,083 376,921,959 492,714,042 
3 333 美的集團 135,654,791 266,032,667 401,687,458 
4 1 平安銀行 65,880,146 227,098,571 292,978,717 
5 2 萬科Ａ 61,622,438 186,901,763 248,524,201 
6 2304 洋河股份 135,377,595 92,465,261 227,842,856 
7 2415 海康威視 78,299,767 101,674,554 179,974,321 
8 1979 招商蛇口 46,348,374 127,081,816 173,430,190 
9 300203 聚光科技 100,790,340 26,277,323 127,067,663 
10 2027 分眾傳媒 49,438,260 71,678,187 121,116,447 
