1	601318	中國平安　　　　	210,867,618	118,116,938	328,984,556
2	600036	招商銀行　　　　	108,283,001	135,524,872	243,807,873
3	600019	寶鋼股份　　　　	44,876,597	184,262,366	229,138,963
4	600519	貴州茅台　　　　	98,075,088	123,321,962	221,397,050
5	600030	中信證券　　　　	120,421,542	99,992,970	220,414,512
6	601688	華泰證券　　　　	158,354,101	48,577,090	206,931,191
7	600276	恒瑞醫藥　　　　	76,135,113	119,092,379	195,227,492
8	600009	上海機場　　　　	148,021,455	13,601,350	161,622,805
9	601398	工商銀行　　　　	57,464,806	61,935,217	119,400,023
10	600900	長江電力　　　　	110,357,421	6,801,737	117,159,158
1	2415	海康威視　　　　	292,159,301	37,189,241	329,348,542
2	858	五糧液　　　　　	200,952,325	44,326,564	245,278,889
3	651	格力電器　　　　	151,529,294	29,399,571	180,928,865
4	2230	科大訊飛　　　　	104,183,195	10,428,316	114,611,511
5	333	美的集團　　　　	91,195,927	15,308,916	106,504,843
6	2268	衛士通　　　　　	59,647,582	25,751,280	85,398,862
7	2008	大族激光　　　　	55,663,035	24,154,091	79,817,126
8	2	萬科Ａ　　　　　	52,831,932	18,357,315	71,189,247
9	2074	國軒高科　　　　	65,627,528	4,154,987	69,782,515
10	725	京東方Ａ　　　　	44,347,062	17,869,699	62,216,761
