1 601318 中國平安 627,840,240 490,048,583 1,117,888,823 
2 600276 恒瑞醫藥 369,440,910 133,048,347 502,489,257 
3 600519 貴州茅台 167,993,903 311,999,274 479,993,177 
4 600030 中信證券 196,675,256 248,380,779 445,056,035 
5 600019 寶鋼股份 115,551,765 302,760,930 418,312,695 
6 601166 興業銀行 156,744,905 255,603,933 412,348,838 
7 600036 招商銀行 207,339,903 197,621,077 404,960,980 
8 601288 農業銀行 137,412,313 250,356,767 387,769,080 
9 601398 工商銀行 130,967,124 255,291,641 386,258,765 
10 601668 中國建築 179,638,332 105,645,850 285,284,182 

1 651 格力電器 306,584,729 244,304,089 550,888,818 
2 2415 海康威視 412,413,595 133,471,647 545,885,242 
3 725 京東方Ａ 167,476,268 247,584,576 415,060,844 
4 858 五糧液 137,767,856 259,070,076 396,837,932 
5 333 美的集團 184,710,996 194,042,922 378,753,918 
6 1 平安銀行 148,895,359 133,849,879 282,745,238 
7 2 萬科Ａ 110,052,973 163,321,615 273,374,588 
8 2236 大華股份 91,634,919 109,673,232 201,308,151 
9 300136 信維通信 80,304,839 116,715,417 197,020,256 
10 2050 三花智控 177,156,373 18,928,692 196,085,065 
