1 600276 恒瑞醫藥 432,313,886 588,610,207 1,020,924,093 
2 601318 中國平安 570,055,636 184,375,449 754,431,085 
3 600519 貴州茅台 499,038,693 224,781,883 723,820,576 
4 600887 伊利股份 254,928,897 131,829,072 386,757,969 
5 600779 水井坊 98,404,064 244,489,109 342,893,173 
6 600585 海螺水泥 142,418,828 187,408,946 329,827,774 
7 600009 上海機場 103,448,280 154,349,866 257,798,146 
8 600104 上汽集團 57,033,163 159,615,428 216,648,591 
9 600690 青島海爾 53,679,378 158,787,121 212,466,499 
10 600036 招商銀行 156,696,320 41,280,150 197,976,470 

1 2415 海康威視 209,968,704 346,046,999 556,015,703 
2 333 美的集團 142,723,506 373,872,490 516,595,996 
3 858 五糧液 320,575,617 194,047,649 514,623,266 
4 651 格力電器 164,639,114 174,022,595 338,661,709 
5 2236 大華股份 134,954,693 111,440,091 246,394,784 
6 1 平安銀行 62,384,852 120,731,378 183,116,230 
7 2 萬科Ａ 127,392,718 40,944,613 168,337,331 
8 300347 泰格醫藥 72,242,193 78,961,105 151,203,298 
9 725 京東方Ａ 95,324,421 53,934,158 149,258,579 
10 2508 老闆電器 10,778,793 129,676,346 140,455,139 
