1 600519 貴州茅台 390,217,150 1,066,695,913 1,456,913,063 
2 601318 中國平安 209,987,422 522,351,904 732,339,326 
3 600183 生益科技 217,031,129 182,421,892 399,453,021 
4 600048 保利地產 254,628,304 114,985,498 369,613,802 
5 600036 招商銀行 135,852,254 232,785,491 368,637,745 
6 600887 伊利股份 156,312,877 162,075,597 318,388,474 
7 601888 中國國旅 150,786,539 142,952,334 293,738,873 
8 601601 中國太保 236,492,417 54,910,126 291,402,543 
9 601166 興業銀行 95,510,986 169,655,442 265,166,428 
10 600276 恒瑞醫藥 71,148,919 167,831,909 238,980,828 

1 858 五糧液 224,583,690 332,400,419 556,984,109 
2 333 美的集團 252,169,815 169,834,822 422,004,637 
3 300498 溫氏股份 312,831,175 102,107,066 414,938,241 
4 651 格力電器 152,336,145 250,023,290 402,359,435 
5 2304 洋河股份 206,708,450 185,017,744 391,726,194 
6 2415 海康威視 117,655,934 229,578,321 347,234,255 
7 300059 東方財富 40,571,204 235,526,822 276,098,026 
8 2714 牧原股份 174,306,555 85,967,132 260,273,687 
9 2507 涪陵榨菜 68,134,152 179,352,126 247,486,278 
10 568 瀘州老窖 149,914,438 60,764,195 210,678,633 
