1	00700	騰訊控股　　　　	320,780,560	117,721,540	438,502,100
2	01918	融創中國　　　　	183,215,000	214,658,550	397,873,550
3	00981	中芯國際　　　　	185,881,730	95,464,092	281,345,822
4	00763	中興通訊　　　　	130,011,430	59,010,830	189,022,260
5	02382	舜宇光學科技　　	166,775,400	8,830,200	175,605,600
6	01339	中國人民保險集團	87,931,880	67,112,640	155,044,520
7	00285	比亞迪電子　　　	25,365,600	88,897,025	114,262,625
8	00656	復星國際　　　　	32,693,810	66,296,300	98,990,110
9	01336	新華保險　　　　	86,204,690	12,519,455	98,724,145
10	02318	中國平安　　　　	65,077,425	27,539,500	92,616,925
1	01918	融創中國　　　　	592,024,100	621,265,350	1,213,289,450
2	00981	中芯國際　　　　	516,736,580	436,027,876	952,764,456
3	01398	工商銀行　　　　	550,119,210	201,596,010	751,715,220
4	00700	騰訊控股　　　　	429,810,620	145,612,690	575,423,310
5	03988	中國銀行　　　　	189,714,200	170,772,170	360,486,370
6	02328	中國財險　　　　	8,653,200	335,404,240	344,057,440
7	01055	中國南方航空股份	86,023,900	135,167,810	221,191,710
8	01336	新華保險　　　　	178,595,480	34,749,390	213,344,870
9	00762	中國聯通　　　　	185,874,000	26,566,056	212,440,056
10	02628	中國人壽　　　　	106,148,800	84,743,543	190,892,343
